OPENADMET_INCHIKEY,OPENADMET_CANONICAL_SMILES,LOG_CLint_HLM,CLint_HLM,LOG_CLint_RLM,CLint_RLM,LOG_CLint_MLM,CLint_MLM
NONFKIOSTANVOU-UHFFFAOYSA-N,FC1=CC=CC(C2=CC=NC(NC3=CC=C(CN4CCC(F)(F)CC4)C=C3)=N2)=C1,2.009450895798694,102.2,,,3.472917269345676,2971.1
VDYGPUBJKFDBEE-UHFFFAOYSA-N,O=C(C1=C2C=CC=CC2=NN1)N1CCN(C(C2=CN=CC(Cl)=C2)C(F)(F)F)CC1,2.3571722577230334,227.6,,,3.4542501553003446,2846.1
JKVHYLQDUIATTJ-UHFFFAOYSA-N,FC1=CC=CC(C2=CC=NC(NC3=CC=C(CN4CCC4)C=C3)=N2)=C1,1.2278867046136734,16.9,,,3.574181797057869,3751.3
XKVXLTRKDPEUEL-UHFFFAOYSA-N,O=C(C1=C(C2=CC=C3N=CSC3=C2)C=NN1)N1CCC(OC2CCN(CC(F)(F)F)CC2)CC1,1.8959747323590648,78.7,,,3.2103452777500197,1623.1
UNMSIAXQVYRWOD-UHFFFAOYSA-N,CC1=NN=C(C2=CC3=NC(C(=O)NC4CCN(C5=CC=NC=C5C)CC4)=CN3N=C2)S1,1.1072099696478683,12.8,,,1.5634810853944108,36.6
RJXWJVSTSXTTOP-UHFFFAOYSA-N,FC1=CC=CC(C2=CC=NC(NC3=CC=C(CN4CCOCC4)C=N3)=N2)=C1,1.5987905067631152,39.7,,,3.0423392045635507,1102.4
ASLAKAGIYRQFGY-UHFFFAOYSA-N,CN1CCN(CC2=CC=C(NC3=CC=CC(C4=CC=CC(F)=C4)=N3)C=C2)CC1,0.2041199826559248,1.6,,,2.692582562274909,492.7
UKJUMLHABAZVIZ-UHFFFAOYSA-N,NC(=O)CC1=CC=C(NC2=NN(C3=CC=CC=N3)C=C2)C=C1,1.0969100130080565,12.5,,,2.394801777162711,248.2
ONNZQHHSOMXEMZ-UHFFFAOYSA-N,N#CC1=C2N=CC(C3=CC=C(OCCN4CCCCC4)C=C3)=C(N)N2N=C1,0.146128035678238,1.4,,,1.725094521081469,53.1
XBVUXNGNNRVJKE-UHFFFAOYSA-N,O=C(C1=CNC2=CC=CN=C12)N1CCC(OC2=CN=CC(Cl)=C2)CC1,1.1958996524092338,15.7,,,2.8867726430544383,770.5
MZMOLJPUGMHAKJ-DPIQGUFMSA-N,ClC1=CN=CC(O[C@@H]2[C@@H]3CC[C@H]2CN(CC2=C4C=NC=NC4=NN2)C3)=C1,1.7032913781186614,50.5,,,2.7046651854545294,506.6
IRYNSDWSDSOMJE-UHFFFAOYSA-N,CN(C1=CC=CC(C2=CC=CC(F)=C2)=N1)C1=NN(CC2CCNCC2)C=C1,0.041392685158225,1.1,,,1.1846914308175989,15.3
GVMLBQQNZQBXQS-HNNXBMFYSA-N,CCCN[C@@H](C)COC1=CC=C2C(=C1)C1=CC3=CN=CC=C3C(C)=C1N2C,1.187520720836463,15.4,,,2.381295623003826,240.6
BGDPQFNLACLDGR-UHFFFAOYSA-N,CC1=NN=C(C2=CC=C3C(=C2)C=C(C(=O)NC2CCN(CC4=CN=CN=C4)CC2)N3C)S1,1.4828735836087537,30.4,,,2.481442628502305,303.0
PXFBJADTMSXXPX-UHFFFAOYSA-N,COC(=O)C1=C(N(C)C)C=NN1,0.9138138523837168,8.2,,,1.5843312243675307,38.4
OZQOVPCOUISXLQ-UHFFFAOYSA-N,CC1=CC(C#N)=CC(C2=CC=CC(OCCN3CCCCC3)=C2)=C1,1.7693773260761383,58.8,,,3.0568286526378117,1139.8
BTXPVXKPPAFLOU-UHFFFAOYSA-N,FC1=CC(C2=CC=NC(NC3=CC=C(CN4CCCCC4)C=C3)=N2)=CC(N2CCOCC2)=C1,1.714329759745233,51.8,,,3.041905639223649,1101.3
DCLYWBJIJDAJOV-UHFFFAOYSA-N,C1=CC(C2=CN3C=NC=C3C=C2)=CC=C1OCCN1CCOCC1,1.155336037465062,14.3,,,2.4720246977002813,296.5
KHPHJPAUVNNNRV-UHFFFAOYSA-N,O=C(C1=C2C=CC=CC2=NN1)N1CCC(OC2=CC=C(Cl)N=C2)CC1,0.5563025007672873,3.6,,,2.141763230275788,138.6
VJSSFFKFLHFCNK-DZFIZOCASA-N,CC1=NN=C(C2=CN3N=C(C(=O)N[C@H]4[C@@H]5CN(C6=CC=NC=C6)C[C@@H]54)C=C3C=C2)S1,0.7481880270062004,5.6,,,1.0755469613925308,11.9
NQAUCOBRFMYLDM-UHFFFAOYSA-N,CC1=CSC(C2=CC=C3C(=C2)C=C(C(=O)NC2CCN(C4=CC=NC=C4)CC2)N3C)=N1,1.235528446907549,17.2,,,1.2695129442179165,18.6
FSKPHGJVBRYTOB-UHFFFAOYSA-N,COCC1CN(CCOC2=CC=C3C(=C2)NC2=C3C(Cl)=CN(C)C2=O)C1,0.7993405494535817,6.3,,,2.394976719554564,248.3
JQTXGFROWHCEMI-UHFFFAOYSA-N,CC(C)C1=CC=C(CNC2=NC(=O)NC(C3=CC=CC=C3)=C2)C=C1,1.530199698203082,33.9,,,3.390740866952916,2458.9
DFIQKUBXNMMAQG-CQSZACIVSA-N,COCCCN[C@H](C)COC1=CN(C2=CC3=CN=CC=C3C(C)=C2N)N=C1,0.7708520116421442,5.9,,,2.5673793076509788,369.3
QKIAODLSFXAPJF-UHFFFAOYSA-N,ClC1=CC=NC(OC2CCN(CC3=C4N=CC=CC4=NN3)CC2)=C1,1.1613680022349748,14.5,,,2.385606273598312,243.0
XILAOHXYXDXWCQ-LAQFHYBYSA-N,ClC1=CN=CC(O[C@H]2[C@@H]3CN(CC4=C5N=CC=CC5=NN4)C[C@@H]32)=C1,2.1734776434529945,149.1,,,3.465709936418241,2922.2
STXGQFRCHLNUKU-IAGOWNOFSA-N,CC1=NN=C(C2=CC3=CC(C(=O)N4C[C@H]5CN(C6=CC=NC=C6)C[C@@H]5C4)=NN3C=C2)S1,-0.2218487496163564,0.6,,,0.5910646070264992,3.9
MPJNNYOMMHVWLZ-UHFFFAOYSA-N,O=C(C1=C(C2=CC=C3OC(F)(F)OC3=C2)C=NN1)N1CCC(OC2=CN=CC(Cl)=C2)CC1,2.180125875164054,151.4,,,2.6240757311456826,420.8
LBPNKTFPXIHKBA-UHFFFAOYSA-N,CC1=C(N)C(C2=CC=C(OC(C)(C)CN3CCCCC3)C=C2)=CC2=CN=CC=C12,1.797959643737196,62.8,,,2.6473829701146196,444.0
HILFQNKQOKUAJT-UHFFFAOYSA-N,C1=CC2=CC=C(N3C=CC(OCCN4CCCCC4)=N3)C=C2C=N1,2.243781916093795,175.3,,,3.149465450995452,1410.8
WWYCXBHJMYJFIM-MRXNPFEDSA-N,COC1=CC=C(C2=NNC(C(=O)N3CCC[C@@H](OC4=CN=CC(Cl)=C4)C3)=C2)C(OC)=C1,2.344588742578714,221.1,,,2.5518158223510157,356.3
HAPYWGLYPHWNML-UHFFFAOYSA-N,COC1=CN=CC=C1N1CCC(NC(=O)C2=NN3C=CC(C4=CN=C(C)S4)=CC3=C2)CC1,2.2111205412580492,162.6,,,2.3281756614383227,212.9
FZMGRMKDRKGRGG-UHFFFAOYSA-N,NC(=O)CN1C=CC(NC2=CC=CC(C3=CC=CC(S(N)(=O)=O)=C3)=N2)=N1,0.568201724066995,3.7,,,1.1139433523068367,13.0
BCZQNLUJXMJDST-UHFFFAOYSA-N,O=C1COC2=CC=C(C3=CC=CC(OCCN4CCCCC4)=N3)C=C2N1,1.0170333392987805,10.4,,,2.9297253783780044,850.6
NWYIGOSZSYFLRF-UHFFFAOYSA-N,ClC1=CN=CC(CN2CC3CCC(C2)N3CC2=C3N=CC=CC3=NN2)=C1,1.8350561017201164,68.4,,,3.538422910925707,3454.8
PMRGGSDFDCPENK-UHFFFAOYSA-N,O=C(C1=C2C=CC(F)=CC2=NN1)N1CCN(CC2=CC=C(Cl)C=C2)CC1,1.7226339225338123,52.8,,,2.7428036584691657,553.1
ZDPZXKMCAYVAQU-CQSZACIVSA-N,CC(=O)N[C@H](C)COC1=CC=C([N+](=O)[O-])C(C2=CC(C3=CC=NC=C3)=CC=N2)=C1,1.7331972651065697,54.1,,,2.698448538015329,499.4
ULCIIMLWPGTXDO-DBWKPXFBSA-N,N#CC1=CN=CC(O[C@@H]2[C@@H]3CC[C@H]2CN(CC2=C4N=CC=CC4=NN2)C3)=N1,2.2380461031287955,173.0,,,3.357553719743082,2278.0
WZAVHBWGRBBWQX-UHFFFAOYSA-N,O=C(C1=C2C=CC(Cl)=CC2=NN1)N1CCC(OC2=CN=CC(Cl)=C2)CC1,1.0453229787866574,11.1,,,2.227629649571009,168.9
KGXFXDHPIURPMI-UHFFFAOYSA-N,CC1=NN=C(C2=CC=C3C(=C2)C=C(C(=O)NC2CCN(C4=CC=NN=C4)CC2)N3C)S1,0.3979400086720376,2.5,,,1.320146286111054,20.9
DOFDRRWFXGGPTC-UHFFFAOYSA-N,CCOC1=CN=C2C(=C1)NC1=C2C=CN(CCCN2CCCCC2)C1=O,0.7075701760979364,5.1,,,1.675778341674085,47.4
WXQIIKAXIHFLMT-KSPBDQMDSA-N,ClC1=CN=NC(O[C@@H]2[C@@H]3CC[C@H]2CN(CC2=C4N=CC=CC4=NN2)C3)=C1,1.383815365980431,24.2,,,2.6270584640009895,423.7
YWSUKOHERSLBTN-UHFFFAOYSA-N,N#CC1=C2N=C(C3=CC=C(OCCN4CCCCC4)C=C3)C=CN2N=C1,0.8864907251724818,7.7,,,1.8836614351536176,76.5
KNPNYVMPCJVNSQ-UHFFFAOYSA-N,CCN1CCC(OC2=CC=C3C(=C2)NC2=C3C(Cl)=CN(C)C2=O)CC1,0.5440680443502757,3.5,,,1.8122446968003696,64.9
DXWGFLNDOOBJBF-UHFFFAOYSA-N,FC1(F)CN(CCN2C=C(C3=CC=C4C=CN=CC4=C3)C=N2)C1,1.4593924877592308,28.8,,,2.72916478969277,536.0
RBXXWTIZPANSLP-UHFFFAOYSA-N,CC1=CC(N2C=CN=C2)=CC2=C1N(C)C1=CC=C(OCCCN3CCCC3)C=C21,0.9084850188786496,8.1,,,2.355259905527378,226.6
XNMOQISJTUCEFD-UHFFFAOYSA-N,CN1C=CC2=C(NC3=CC(NC(=O)CCN4CCCCC4)=CC=C32)C1=O,0.7403626894942439,5.5,,,1.887617300335736,77.2
XYDSPGQRLCQZCA-UHFFFAOYSA-N,ClC1=C(C2=CC=C(OCCN3CCCCC3)C=N2)C=CC2=CC=NC=C12,1.0128372247051722,10.3,,,2.5371892262436444,344.5
DWPVPFFMIAWXQW-UHFFFAOYSA-N,CC1=NN=C(C2=CN3C=C(C(=O)NC4CCN(C5=CC=NC=C5F)CC4)N=C3C=C2)S1,1.4828735836087537,30.4,,,1.8444771757456817,69.9
MRVLIZHOPLNHOG-UHFFFAOYSA-N,C1=CC2=CC=C(C3=CC=C(OCCN4CCC4)C=C3)C=C2C=N1,0.8388490907372553,6.9,,,3.3305152321703284,2140.5
RKMKHUONJDBJKL-UHFFFAOYSA-N,O=C(O)CC1=CC=CC(NC2=CC=CC(C3=CC=CN=C3)=N2)=N1,0.8750612633917001,7.5,,,1.6866362692622934,48.6
SVRZEKGKOSVQKS-UHFFFAOYSA-N,NC1=CC(C2=CC=CC=C2)=NC2=C(C3=CC=CC=C3)C=NN12,1.424881636631067,26.6,,,1.8727388274726688,74.6
PCEVMORENBLSHF-UHFFFAOYSA-N,C1=CC2=CC=C(C3=CC=C(CCCN4CCCCC4)C=C3)C=C2C=N1,0.9030899869919436,8.0,,,2.8745977687032,749.2
SNPAMPMXTJCSEC-UHFFFAOYSA-N,C1=NN2C=CC(C3=CC=C(OCCN4CCCCC4)C=C3)=CC2=C1,1.1172712956557642,13.1,,,2.797059694699971,626.7
BFBHJWJKJOJHNE-UHFFFAOYSA-N,CC1=C(OCCN2CCOCC2)C=CC(C2=CC(Cl)=C3C=CN=CC3=N2)=C1N,2.0874264570362855,122.3,,,2.640282629696681,436.8
IXERTLLZMJIXOP-UHFFFAOYSA-N,CN1C=CC2=C(NC3=CC(OCCN4CC(C)(O)C4)=CC=C32)C1=O,0.4913616938342727,3.1,,,1.0681858617461617,11.7
JMVZGRMDXYBTAX-UHFFFAOYSA-N,COCCNC(=O)C1=CC=C2C(=C1)C(C1=CN=CC(OC)=C1)=CN2C,1.9355072658247128,86.2,,,3.127428777851599,1341.0
DHSCKNYYKKIWQT-GFENJXEQSA-N,ClC1=CN=CC(O[C@@H]2[C@@H]3CC[C@H]2CN(CC2=CC4=C(Cl)C=CC=C4S2)C3)=C1,0.6232492903979004,4.2,,,1.7831886910752577,60.7
DSYIIXKXFZZJKO-UHFFFAOYSA-N,COC1CCN(CCOC2=CC=C3C(=C2)OC2=C3C=CN(C)C2=O)CC1,0.9242792860618816,8.4,,,1.4487063199050798,28.1
DKHUBPPREQTTAL-UHFFFAOYSA-N,CN1C2=CC=C(OCC3=CNN=C3)C=C2C2=C1C(=O)N(CCCN1CCCCC1)C=C2,1.1038037209559568,12.7,,,2.9722491359625955,938.1
YVLJZZDIKZXTOK-UHFFFAOYSA-N,CC1=CN2N=CC(C3=NNC(C(=O)N4CCC(OC5=CC=C(Cl)C=C5)CC4)=C3)=C2N=C1,0.7075701760979364,5.1,,,2.311541958401195,204.9
IPPHOILLIOSBCQ-GFCCVEGCSA-N,CN1CC[C@@H](OC2=CC=C3C(=C2)NC2=C3C=CN(C)C2=O)C1,0.9030899869919436,8.0,,,1.9680157139936416,92.9
BYBIHPINXXJGCJ-UHFFFAOYSA-N,COC1=C(C2=CC=C(OCCN3CCCCC3)C=C2)C=C2C=NC=CC2=C1C,1.8363241157067516,68.6,,,2.7370335313338776,545.8
OZFOBNFFNWQMMU-UHFFFAOYSA-N,N#CC1=CC(C2=CC=C(OCCN3CCCCC3)C=C2)=C2C=CN=CC2=C1,1.3783979009481375,23.9,,,2.785543369956593,610.3
HGZMLZMFASQKFL-UHFFFAOYSA-N,O=C(C1=C(C2=CC=C3N=CSC3=C2)C=NN1)N1CCC(C2=CC=NC=C2)CC1,1.5327543789924978,34.1,,,2.3736474722092176,236.4
NLFSMATXQVRTPR-UHFFFAOYSA-N,CSC1=CC2=CC=NC=C2C=C1C1=CC=C(OCCN2CCCCC2)C=C1,1.5831987739686226,38.3,,,3.3327211642891275,2151.4
CLDBSDNRNRZNOE-RTBURBONSA-N,CC1=NC=C(C2=CN=C3C(=C2)C=C(C(=O)N[C@@H]2CCN(C4=CC=NC=C4)C[C@H]2F)N3C)S1,1.383815365980431,24.2,,,1.4517864355242902,28.3
PIQZKXWBSKRRQZ-UHFFFAOYSA-N,CC1=CC=C2C(=C1)NC1=CC(OCCN3CCCCC3)=CC=C12,0.8325089127062363,6.8,,,1.8312296938670631,67.8
JEYFHYUSFQJOKV-UHFFFAOYSA-N,CC1=CC(C2=NC=CS2)=CC2=C1N(C)C1=CC=C(OCCCN3CCCC3)C=C21,0.9822712330395684,9.6,,,3.1049307390777403,1273.3
TYSVRJXNABRMQH-UHFFFAOYSA-N,O=C(C1=CC=C(Cl)C=C1)N1CCN(C(=O)C2=C3C=CC=CC3=NN2)CC1,0.6434526764861874,4.4,,,2.215637563435062,164.3
BLWHKMREIYRCRO-USGNIVHTSA-N,CC1=CC=C2NN=C(CN3C[C@H]4CC[C@@H](C3)[C@@H]4OC3=CN=CC(Cl)=C3)C2=C1,1.8331471119127851,68.1,,,2.728272597895017,534.9
DHTMHCABESYPPR-UHFFFAOYSA-N,C#CC1=C2N=CC(C3=CC=C(OCCN4CCCCC4)C=C3)=CN2N=C1,0.8633228601204559,7.3,,,1.952792443044092,89.7
PTBYXMFBXXPGBZ-UHFFFAOYSA-N,CN(C)CCCOC1=CC=CC=C1NC1=NC(C2=CC=C(F)C=C2)=CS1,1.0969100130080565,12.5,,,2.659440781870318,456.5
KKAIXQCMOHEVKE-UHFFFAOYSA-N,CN1C2=CC=C(OCCN3CCCCC3)C=C2C2=C(C(N)=O)N=CC=C21,0.7708520116421442,5.9,,,2.061452479087193,115.2
ZSCQPUUMNQARBM-UHFFFAOYSA-N,CC1=CC=CC(C2=CC=C(OCC(C)(C)N3CCCCC3)C=C2)=C1N,1.0128372247051722,10.3,,,2.342620042553348,220.1
UZPAQTGBKWRXER-UHFFFAOYSA-N,N#CC1=CC(C2=CC=C(OCCN3CCCCC3)C=C2)=C2C=NN=CC2=C1,1.0043213737826426,10.1,,,2.569373909615046,371.0
VHICXKNHAMFMIZ-KRWDZBQOSA-N,CC1=NN=C(C2=CC=C3C(=C2)C=C(C(=O)N[C@H]2CCN(C4=CC=NC=C4)C2)N3C)S1,0.5563025007672873,3.6,,,1.0374264979406236,10.9
GYEIGECBNPXYHC-UHFFFAOYSA-N,O=C(C1=C(C2=CC=CC=C2)C=NN1)N1CCC(OC2=CN=CC=C2Cl)CC1,2.4622482153549976,289.9,,,3.080770746840722,1204.4
JEHNLPWMWBSFHW-UHFFFAOYSA-N,C1=CC2=C(C=N1)NC=C2C1=CC=C(OCCN2CCCCC2)C=C1,0.9395192526186184,8.7,,,1.7363965022766426,54.5
KVATWYSVVGKFFS-UHFFFAOYSA-N,CN1C(C(=O)NC2CCN(C3=CC=NC=C3)CC2)=CC2=CC(N3CCOCC3)=CC=C21,0.7781512503836436,6.0,,,1.0606978403536116,11.5
UVWDOOCINPIDPY-UHFFFAOYSA-N,CC1=CC=C(CNC2=CC(=O)NC(C3=CC=CC=C3)=N2)C=C1,1.403120521175818,25.3,,,2.8194781283621224,659.9
MOHOPTXPTSOIIE-UHFFFAOYSA-N,O=C(C1=C(C2=CC=CC=C2)N=CN1)N1CCC(OC2=CC=C(Cl)C=C2)CC1,1.8591382972945307,72.3,,,2.847572659142112,704.0
AVCQTUYTFWTAOV-UHFFFAOYSA-N,COC1=CN=CC(OC2CCN(C(=O)C3=NNC(C4=CC5=C(C=C4OC)N(C)C=N5)=C3)CC2)=C1,1.2174839442139065,16.5,,,2.4214393902200495,263.9
QQFKDNKNPBXPCU-UHFFFAOYSA-N,COC1=CC=C2NC3=C(N=CN(CCCN4CCCC4)C3=O)C2=C1,-0.5228787452803376,0.3,,,1.57287160220048,37.4
QMMVVELHIJVQEM-UHFFFAOYSA-N,O=C(C1=C(C2=CC=C3N=CSC3=C2)C=NN1)N1CCC(OC2=CC=C(Cl)C=C2)CC1,1.899273187317604,79.3,,,2.672836454171397,470.8
NTMZRENWPQHGIJ-UHFFFAOYSA-N,CC1=CN(C)C(=O)C2=C1C1=C(OCCN(C)C)C=CC=C1N2,1.0334237554869496,10.8,,,1.8762178405916423,75.2
IGESDVSZBBRGLX-DBWKPXFBSA-N,CN1C=CC2=C(C(CN3C[C@H]4CC[C@@H](C3)[C@@H]4OC3=CN=CC(Cl)=C3)=NN2)C1=O,2.1894903136993675,154.7,,,3.275748884479195,1886.9
RVBBLPXYVZBROL-UWUNEBHHSA-N,CN1C=NC(C2=CC3=CC(C(=O)N[C@H]4CC[C@@H](C5=CC=NC=C5)CC4)=NN3C=C2)=C1,2.2610248339923973,182.4,,,2.5379449592914867,345.1
DQKBCCHALSRZNP-UHFFFAOYSA-N,CN1CCC(OC2=CC=C3C(=C2)NC2=C3C=CN(C)C2=O)CC1,0.4771212547196624,3.0,,,1.8375884382355112,68.8
MRWLDBJOKZNVGO-HXUWFJFHSA-N,CN1C=CC2=C(NC3=CC(OCCN4CC[C@@]5(CCO5)C4)=CC=C32)C1=O,0.8573324964312685,7.2,,,1.4771212547196624,30.0
VDBGUZHGUZWCRQ-LBPRGKRZSA-N,C[C@H](N)COC1=CC=CC(C2=CC=C3C=NC=CC3=C2)=N1,1.7937903846908188,62.2,,,3.058995093525416,1145.5
WZPOMOSPGCORCM-UHFFFAOYSA-N,CC(=O)NCC1=CC=CC(NC2=CC=CC(C3=CC=CN=C3)=N2)=N1,0.9542425094393248,9.0,,,2.4075608494863627,255.6
PRNGURNEUFENQN-UHFFFAOYSA-N,NC1=C(C2=CC=C(OCCN3CCCCC3)C=C2)C=C2C=NC=NC2=C1Br,1.1760912590556811,15.0,,,2.5375672571526753,344.8
NAJFDFKLIKUWRO-UHFFFAOYSA-N,NC(=O)CN1C=CC(NC2=CC=CC(C3=CC=CN=C3)=N2)=N1,0.7403626894942439,5.5,,,1.9493900066449128,89.0
ICXWEDYAKJKPDB-GFCCVEGCSA-N,CN1C=C(Cl)C2=C(NC3=CC(OCCN4CCC[C@@H](O)C4)=CC=C32)C1=O,0.4471580313422192,2.8,,,1.7427251313046983,55.3
JHLNPYDMZQGEQH-UHFFFAOYSA-N,COC1=CC=C2C(=C1)C1=CC3=CC=NC=C3C(C)=C1N2C,1.9576072870600951,90.7,,,3.1633999327868634,1456.8
VYJPPMDTVBZYCT-UHFFFAOYSA-N,CN1C(C(=O)NC2CCN(C3=CC=NC=C3)CC2)=CC2=CC(C3=CC=CC=N3)=CN=C21,0.9030899869919436,8.0,,,0.9344984512435676,8.6
WHBDWKRQJQZSOV-UHFFFAOYSA-N,NC1=C(C2=CC=C(OCCN3CCCCC3)C=C2)C=C2C=NC=CC2=C1Cl,1.484299839346786,30.5,,,2.3634239329171765,230.9
REPKEYIZHYWNGU-UHFFFAOYSA-N,NC1=CC(OCCN2CCCCC2)=CC=C1C1=NC=C2C=CN=CC2=N1,1.0413926851582251,11.0,,,2.70816585785554,510.7
ZSSFSFDXODVBRJ-UHFFFAOYSA-N,CN1C=CC2=C(NC3=CC(OCCN4CCCCC4)=CN=C32)C1=O,0.5314789170422551,3.4,,,1.6503075231319364,44.7
